"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
469,"NYC16_vs_SAN17","AB_Order",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
469,"NYC16_vs_SAN17","AB_Family",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
565,"DEN16_vs_NYC16","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_BAL17","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_DEN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"DEN16_vs_NYC16","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_DEN17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,"DEN16_vs_NYC17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
1280,"DEN16_vs_NYC17","AB_Class",5,"Bacteria","Bacillota","Bacilli",NA,NA,NA
1280,"DEN16_vs_NYC17","AB_Order",3,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
1280,"DEN16_vs_NYC17","AB_Family",2,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
1280,"DEN16_vs_NYC17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1280,"BAL17_vs_NYC17","AB_Genus",5,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1350,"NYC16_vs_MIN17","AB_Family",5,"Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae",NA
1350,"NYC16_vs_MIN17","AB_Genus",2,"Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
28901,"NYC17_vs_SAN17","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella"
29370,"NYC16_vs_SAC16","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
34062,"NYC16_vs_SAC16","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
34062,"NYC16_vs_MIN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
34062,"MIN17_vs_NYC17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
47671,"SAC16_vs_NYC17","AB_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia"
51665,"NYC16_vs_MIN17","AB_Genus",4,"Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus"
55206,"DEN17_vs_NYC17","AB_Genus",2,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta"
119219,"NYC16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
119219,"NYC16_vs_DEN17","AB_Genus",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
131568,"NYC16_vs_SAC16","AB_Order",3,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales",NA,NA
225148,"BAL17_vs_NYC17","AB_Family",3,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"BAL17_vs_NYC17","AB_Genus",4,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
288000,"NYC16_vs_BAL17","AB_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_DEN17","AB_Family",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_BAL17","AB_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
288000,"NYC16_vs_DEN17","AB_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
337051,"SAC16_vs_NYC17","Viruses_Order",1,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA
337051,"BAL17_vs_NYC17","Viruses_Order",2,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA
337051,"MIN17_vs_NYC17","Viruses_Order",1,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA
337051,"NYC17_vs_SAN17","Viruses_Order",1,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA
337051,"SAC16_vs_NYC17","Viruses_Family",2,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae",NA
337051,"BAL17_vs_NYC17","Viruses_Family",1,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae",NA
337051,"MIN17_vs_NYC17","Viruses_Family",2,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae",NA
337051,"NYC17_vs_SAN17","Viruses_Family",2,"Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae",NA
861445,"DEN16_vs_NYC16","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter"
1349409,"NYC16_vs_SAN17","Viruses_Genus",3,"Viruses","","","","","Pandoravirus"
1528099,"NYC17_vs_SAN17","AB_Family",4,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae",NA
1658671,"DEN16_vs_NYC16","AB_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Arsenicicoccus"
1882682,"NYC16_vs_SAC16","AB_Genus",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga"
1982251,"NYC16_vs_SAN17","Viruses_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus"
1982251,"NYC17_vs_SAN17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus"
2086471,"SAC16_vs_NYC17","AB_Genus",5,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2560685,"SAC16_vs_NYC17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Otagovirus"
2713640,"DEN17_vs_NYC17","Viruses_Phylum",3,"Viruses","Artverviricota",NA,NA,NA,NA
2713640,"DEN17_vs_NYC17","Viruses_Class",4,"Viruses","Artverviricota","Revtraviricetes",NA,NA,NA
2713640,"DEN17_vs_NYC17","Viruses_Family",5,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae",NA
2713640,"DEN17_vs_NYC17","Viruses_Genus",1,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2731985,"DEN16_vs_NYC16","Viruses_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Tritonvirus"
2899133,"MIN17_vs_NYC17","AB_Phylum",5,"Bacteria","Candidatus Saccharibacteria",NA,NA,NA,NA
2936682,"NYC16_vs_BAL17","AB_Genus",4,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
2936682,"NYC16_vs_MIN17","AB_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
2956463,"MIN17_vs_NYC17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Skogvirus"
2994664,"NYC16_vs_SAC16","AB_Genus",5,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Frigoribacterium"
